Time,InNum,OutNum,Station
2023-04-16 00:00:00,0,0,A
2023-04-16 00:15:00,0,0,A
2023-04-16 00:30:00,0,4,A
2023-04-16 00:45:00,0,9,A
2023-04-16 01:00:00,0,30,A
2023-04-16 01:15:00,0,0,A
2023-04-16 01:30:00,0,45,A
2023-04-16 01:45:00,0,0,A
2023-04-16 02:00:00,0,0,A
2023-04-16 02:15:00,0,19,A
2023-04-16 02:30:00,0,0,A
2023-04-16 02:45:00,0,0,A
2023-04-16 03:00:00,0,31,A
2023-04-16 03:15:00,0,25,A
2023-04-16 03:30:00,0,27,A
2023-04-16 03:45:00,0,95,A
2023-04-16 04:00:00,0,116,A
2023-04-16 04:15:00,0,107,A
2023-04-16 04:30:00,49,177,A
2023-04-16 04:45:00,55,183,A
2023-04-16 05:00:00,106,233,A
2023-04-16 05:15:00,254,376,A
2023-04-16 05:30:00,243,368,A
2023-04-16 05:45:00,331,436,A
2023-04-16 06:00:00,286,395,A
2023-04-16 06:15:00,341,447,A
2023-04-16 06:30:00,290,403,A
2023-04-16 06:45:00,231,336,A
2023-04-16 07:00:00,229,329,A
2023-04-16 07:15:00,161,292,A
2023-04-16 07:30:00,177,273,A
2023-04-16 07:45:00,76,198,A
2023-04-16 08:00:00,97,197,A
2023-04-16 08:15:00,213,309,A
2023-04-16 08:30:00,191,292,A
2023-04-16 08:45:00,146,245,A
2023-04-16 09:00:00,223,320,A
2023-04-16 09:15:00,257,340,A
2023-04-16 09:30:00,235,355,A
2023-04-16 09:45:00,203,306,A
2023-04-16 10:00:00,119,255,A
2023-04-16 10:15:00,167,251,A
2023-04-16 10:30:00,111,225,A
2023-04-16 10:45:00,59,217,A
2023-04-16 11:00:00,46,178,A
2023-04-16 11:15:00,70,217,A
2023-04-16 11:30:00,169,301,A
2023-04-16 11:45:00,125,269,A
2023-04-16 12:00:00,48,184,A
2023-04-16 12:15:00,64,177,A
2023-04-16 12:30:00,51,175,A
2023-04-16 12:45:00,119,243,A
2023-04-16 13:00:00,178,281,A
2023-04-16 13:15:00,130,255,A
2023-04-16 13:30:00,111,211,A
2023-04-16 13:45:00,134,256,A
2023-04-16 14:00:00,146,266,A
2023-04-16 14:15:00,167,290,A
2023-04-16 14:30:00,200,313,A
2023-04-16 14:45:00,219,328,A
2023-04-16 15:00:00,246,384,A
2023-04-16 15:15:00,284,384,A
2023-04-16 15:30:00,260,416,A
2023-04-16 15:45:00,273,406,A
2023-04-16 16:00:00,217,346,A
2023-04-16 16:15:00,193,348,A
2023-04-16 16:30:00,138,258,A
2023-04-16 16:45:00,197,321,A
2023-04-16 17:00:00,137,279,A
2023-04-16 17:15:00,116,254,A
2023-04-16 17:30:00,127,265,A
2023-04-16 17:45:00,167,247,A
2023-04-16 18:00:00,126,270,A
2023-04-16 18:15:00,79,213,A
2023-04-16 18:30:00,115,276,A
2023-04-16 18:45:00,65,228,A
2023-04-16 19:00:00,63,224,A
2023-04-16 19:15:00,11,172,A
2023-04-16 19:30:00,55,225,A
2023-04-16 19:45:00,11,148,A
2023-04-16 20:00:00,16,190,A
2023-04-16 20:15:00,97,271,A
2023-04-16 20:30:00,129,324,A
2023-04-16 20:45:00,155,327,A
2023-04-16 21:00:00,105,289,A
2023-04-16 21:15:00,137,308,A
2023-04-16 21:30:00,211,392,A
2023-04-16 21:45:00,150,313,A
2023-04-16 22:00:00,89,298,A
2023-04-16 22:15:00,67,230,A
2023-04-16 22:30:00,96,283,A
2023-04-16 22:45:00,4,189,A
2023-04-16 23:00:00,29,198,A
2023-04-16 23:15:00,0,123,A
2023-04-16 23:30:00,0,124,A
2023-04-16 23:45:00,0,138,A
